华为投资控股有限公司	251	中铁第四勘察设计院集团有限公司
2	国家电网有限公司	252	西安航天远征流体控制股份有限公司
3	珠海格力电器股份有限公司	253	北新集团建材股份有限公司
4	腾讯科技（深圳）有限公司	254	中国石油集团工程股份有限公司
5	中国南方电网有限责任公司	255	航天科工火箭技术有限公司
6	广东欧加控股有限公司	256	北京极智嘉科技股份有限公司
7	京东方科技集团股份有限公司	257	交控科技股份有限公司
8	中国石油化工股份有限公司	258	江苏苏博特新材料股份有限公司
9	美的集团股份有限公司	259	中石化石油工程技术服务有限公司
10	浪潮电子信息产业股份有限公司	260	中材科技股份有限公司
11	海尔智家股份有限公司	261	矿冶科技集团有限公司
12	维沃控股有限公司	262	北京世纪好未来教育科技有限公司
13	中兴通讯股份有限公司	263	深圳市传音投资有限公司
14	北京百度网讯科技有限公司	264	中科寒武纪科技股份有限公司
15	TCL科技集团股份有限公司	265	人福医药集团股份公司
16	中国冶金科工股份有限公司	266	贝壳找房（北京）科技有限公司
17	抖音视界有限公司	267	华灿光电股份有限公司
18	中国烟草总公司	268	宝时得科技（中国）有限公司
19	阿里巴巴（中国）有限公司	269	昆山龙腾光电股份有限公司
20	中国石油天然气集团有限公司	270	奇安信科技集团股份有限公司
21	海信集团有限公司	271	贵阳航空电机有限公司
22	小米通讯技术有限公司	272	深圳市长盈精密技术股份有限公司
23	中国铁道建筑集团有限公司	273	上海隧道工程股份有限公司
24	中国平安保险（集团）股份有限公司	274	口碑（上海）信息技术有限公司
25	中国移动通信集团有限公司	275	中国核电工程有限公司
26	中国船舶集团有限公司	276	恒力集团有限公司
27	杭州海康威视数字技术股份有限公司	277	珠海市君天电子科技有限公司
28	歌尔股份有限公司	278	台达电子企业管理（上海）有限公司
29	天马微电子股份有限公司	279	宇龙计算机通信科技（深圳）有限公司
30	联想（北京）有限公司	280	东风柳州汽车有限公司
31	比亚迪股份有限公司	281	三一重机有限公司
32	北京京东世纪贸易有限公司	282	广西柳工机械股份有限公司
33	国电南瑞科技股份有限公司	283	鼎桥通信技术有限公司
34	潍柴动力股份有限公司	284	北京明略软件系统有限公司
35	上海汽车工业（集团）有限公司	285	新希望集团有限公司
36	浙江吉利控股集团有限公司	286	山东钢铁集团有限公司
37	中国联合网络通信集团有限公司	287	上海振华重工（集团）股份有限公司
38	新华三信息技术有限公司	288	九牧集团有限公司
39	宝山钢铁股份有限公司	289	成都光明光电股份有限公司
40	中国铁建股份有限公司	290	中海油能源发展股份有限公司
41	维信诺科技股份有限公司	291	迈普通信技术股份有限公司
42	蚂蚁科技集团股份有限公司	292	欣旺达电子股份有限公司
43	中国电信股份有限公司	293	浙江省能源集团有限公司
44	宁波方太厨具有限公司	294	安徽合力股份有限公司
45	浙江大华技术股份有限公司	295	马鞍山钢铁股份有限公司
46	中国兵器装备集团有限公司	296	中船黄埔文中船舶有限公司
47	中国第一汽车股份有限公司	297	泰康保险集团股份有限公司
48	大唐移动通信设备有限公司	298	微创投资控股有限公司
49	北京达佳互联信息技术有限公司	299	深圳光峰科技股份有限公司
50	中国广核集团有限公司	300	河南平高电气股份有限公司
51	宁德时代新能源科技股份有限公司	301	联合汽车电子有限公司
52	长江存储科技有限责任公司	302	中石化炼化工程（集团）股份有限公司
53	展讯通信（上海）有限公司	303	浙江新和成股份有限公司
54	中国航发动力股份有限公司	304	中国东方红卫星股份有限公司
55	宁波奥克斯电气股份有限公司	305	咪咕文化科技有限公司
56	中国国家铁路集团有限公司	306	中铁二院工程集团有限责任公司
57	长城汽车股份有限公司	307	上海集成电路研发中心有限公司
58	网易（杭州）网络有限公司	308	顺丰控股股份有限公司
59	天地科技股份有限公司	309	格林美股份有限公司
60	东风汽车集团有限公司	310	福耀玻璃工业集团股份有限公司
61	中航光电科技股份有限公司	311	山东新北洋信息技术股份有限公司
62	中国煤炭科工集团有限公司	312	广州华多网络科技有限公司
63	三六零安全科技股份有限公司	313	纳恩博（北京）科技有限公司
64	重庆长安汽车股份有限公司	314	北京汽车股份有限公司
65	烽火通信科技股份有限公司	315	先健科技（深圳）有限公司
66	深圳市大疆创新科技有限公司	316	有研新材料股份有限公司
67	深圳市华星光电半导体显示技术有限公司	317	中节能万润股份有限公司
68	深圳市商汤科技有限公司	318	中国软件与技术服务股份有限公司
69	北京三快在线科技有限公司	319	中海油田服务股份有限公司
70	广州汽车工业集团有限公司	320	广东威灵电机制造有限公司
71	徐工集团工程机械股份有限公司	321	华润微电子控股有限公司
72	中国铁路通信信号集团有限公司	322	中车株洲电机有限公司
73	北京奇艺世纪科技有限公司	323	金川集团股份有限公司
74	航天时代电子技术股份有限公司	324	共享装备股份有限公司
75	深圳惠科投资控股有限公司	325	南京泉峰科技有限公司
76	中芯集电投资（上海）有限公司	326	中车齐齐哈尔车辆有限公司
77	首钢集团有限公司	327	北京东土科技股份有限公司
78	安徽江淮汽车集团股份有限公司	328	中国交通建设股份有限公司
79	奇瑞控股集团有限公司	329	未来穿戴健康科技股份有限公司
80	中车青岛四方机车车辆股份有限公司	330	万向集团公司
81	上海联影医疗科技股份有限公司	331	深圳怡化电脑股份有限公司
82	中国航发商用航空发动机有限责任公司	332	珠海市魅族科技有限公司
83	许继电气股份有限公司	333	陕西延长石油（集团）有限责任公司
84	中国中铁股份有限公司	334	北京迈格威科技有限公司
85	中国海洋石油集团有限公司	335	重庆特斯联智慧科技股份有限公司
86	阳光电源股份有限公司	336	联创电子科技股份有限公司
87	中国船舶工业股份有限公司	337	中国检验认证（集团）有限公司
88	中国船舶重工集团动力股份有限公司	338	中国中材国际工程股份有限公司
89	广州视源电子科技股份有限公司	339	苏宁控股集团有限公司
90	九阳股份有限公司	340	赛尔网络有限公司
91	大族激光科技产业集团股份有限公司	341	博泰车联网科技（上海）股份有限公司
92	新疆金风科技股份有限公司	342	晶科能源股份有限公司
93	贵州航天电器股份有限公司	343	南京溧水高新技术产业投资有限公司
